soil_moisture_pct,rain_forecast_mm,temperature_c,crop_stage,recommendation
14.3,7.6,36.3,Vegetative,Irrigate
38.5,11.6,35.4,Maturity,No irrigation
55.2,5.9,27.5,Maturity,No irrigation
27.1,7.9,28.1,Flowering,Irrigate
30.1,18.8,20.7,Flowering,No irrigation
60.7,11.6,34.0,Maturity,No irrigation
41.2,10.4,27.0,Vegetative,No irrigation
60.6,16.0,16.7,Vegetative,No irrigation
36.8,23.2,31.0,Maturity,No irrigation
67.2,11.4,36.9,Vegetative,No irrigation
49.0,17.6,34.2,Maturity,No irrigation
17.0,29.0,22.1,Flowering,No irrigation
63.1,15.7,17.2,Maturity,No irrigation
39.4,27.3,36.7,Vegetative,No irrigation
18.5,23.8,36.6,Maturity,No irrigation
19.2,1.8,27.7,Vegetative,Irrigate
51.3,12.9,30.1,Vegetative,No irrigation
12.8,20.9,26.2,Maturity,No irrigation
27.2,29.6,25.2,Flowering,No irrigation
18.4,13.8,18.6,Maturity,No irrigation
36.5,2.8,18.1,Vegetative,Consider irrigation
34.9,16.9,21.1,Vegetative,No irrigation
41.3,3.8,34.4,Flowering,No irrigation
26.8,22.5,19.2,Maturity,No irrigation
11.9,15.2,21.0,Flowering,No irrigation
46.9,21.7,28.1,Maturity,No irrigation
32.4,26.1,20.7,Maturity,No irrigation
49.1,18.9,19.6,Maturity,No irrigation
16.5,18.4,28.4,Flowering,No irrigation
10.8,22.6,24.1,Maturity,No irrigation
24.9,25.3,29.8,Flowering,No irrigation
37.4,26.1,36.1,Maturity,No irrigation
33.6,1.1,19.3,Flowering,Consider irrigation
58.6,16.7,36.1,Flowering,No irrigation
32.7,6.5,35.9,Flowering,No irrigation
41.8,25.8,34.2,Flowering,No irrigation
45.6,19.5,29.9,Maturity,No irrigation
11.3,12.6,29.6,Maturity,No irrigation
40.9,5.6,30.1,Flowering,No irrigation
30.7,10.2,31.2,Vegetative,No irrigation
35.3,21.1,16.4,Flowering,No irrigation
16.0,6.1,37.1,Vegetative,Irrigate
57.0,2.8,28.9,Vegetative,No irrigation
66.5,26.6,33.2,Vegetative,No irrigation
11.3,22.9,24.3,Flowering,No irrigation
46.1,6.0,16.3,Maturity,No irrigation
55.8,8.8,27.2,Flowering,No irrigation
27.1,29.2,27.2,Flowering,No irrigation
57.3,21.2,25.6,Vegetative,No irrigation
47.9,18.3,23.5,Maturity,No irrigation
65.7,9.2,21.5,Vegetative,No irrigation
68.9,9.0,27.6,Maturity,No irrigation
12.5,1.2,24.3,Maturity,Irrigate
36.7,21.9,37.3,Maturity,No irrigation
42.8,1.3,19.8,Vegetative,No irrigation
18.8,0.1,23.0,Vegetative,Irrigate
30.2,21.9,22.5,Vegetative,No irrigation
69.3,28.5,28.0,Maturity,No irrigation
11.0,22.7,27.0,Vegetative,No irrigation
37.2,14.1,30.2,Maturity,No irrigation
60.6,14.6,36.9,Vegetative,No irrigation
29.4,13.1,22.3,Vegetative,No irrigation
38.8,9.7,31.2,Vegetative,No irrigation
68.7,15.7,16.6,Maturity,No irrigation
38.5,12.9,21.8,Flowering,No irrigation
17.9,17.9,26.2,Flowering,No irrigation
13.1,26.9,16.7,Flowering,No irrigation
66.7,29.9,29.6,Flowering,No irrigation
25.9,2.4,30.9,Flowering,Irrigate
40.2,11.5,32.4,Flowering,No irrigation
15.4,5.4,27.4,Vegetative,Irrigate
35.4,10.6,29.3,Vegetative,No irrigation
65.8,8.6,24.7,Flowering,No irrigation
40.1,5.2,16.9,Vegetative,No irrigation
68.3,22.9,18.2,Flowering,No irrigation
25.5,14.9,30.4,Vegetative,No irrigation
40.3,27.6,37.9,Maturity,No irrigation
61.6,1.0,16.3,Vegetative,No irrigation
36.9,2.0,28.3,Vegetative,Consider irrigation
26.8,12.1,32.5,Flowering,No irrigation
61.3,2.4,34.2,Vegetative,No irrigation
33.4,7.9,28.0,Flowering,No irrigation
41.8,29.6,29.6,Vegetative,No irrigation
68.6,6.3,31.3,Vegetative,No irrigation
21.2,5.9,34.9,Maturity,Irrigate
28.1,17.2,18.7,Maturity,No irrigation
